year,season_length,days_operating,diadromous_fish_passed,log_diadromous_fish_passed,mean_flow,log_mean_flow
2021,215,211,1744262,6.241611719,7614.84,3.881660783
2020,209,183,1965778,6.29353447,7627.46,3.882379939
2019,195,181,1991356,6.299148907,12089.85,4.082420913
2018,211,181,2180648,6.338585567,12107.06,4.083038695
2017,206,176,1263945,6.101728176,12708.11,4.104080965
2016,207,196,1271076,6.104171519,7054.49,3.848465622
2015,200,192,592386,5.772604786,11482.85,4.060049692
2014,193,185,188706,5.275785709,11944.61,4.077171974
